Long,Lat,EC 0-2
75.4394884,31.4298534,8.56
75.4394717,31.4298534,8.65
75.4394516,31.4298517,8.77
75.4394317,31.4298517,8.9
75.4394101,31.4298517,9.03
75.4393883,31.4298517,9.15
75.4393667,31.4298517,9.29
75.439345,31.4298517,9.45
75.439325,31.4298517,9.58
75.4393034,31.4298517,9.67
75.4392816,31.42985,9.71
75.4392601,31.42985,9.73
75.4392384,31.42985,9.8
75.4392183,31.4298484,9.91
75.4391967,31.42985,10.05
75.439175,31.42985,10.16
75.4391533,31.42985,10.25
75.4391333,31.4298517,10.35
75.4390584,31.429865,11.39
75.43906,31.4298817,11.55
75.4390584,31.4298984,11.68
75.4390584,31.429915,11.71
75.4390567,31.4299317,11.67
75.4390567,31.4299501,11.6
75.439055,31.4299683,11.57
75.4390534,31.4299867,11.61
75.4390534,31.430005,11.68
75.4390517,31.4300217,11.68
75.4390517,31.43004,11.59
75.43905,31.4300567,11.42
75.43905,31.4300734,11.25
75.4390701,31.4301383,11.94
75.43909,31.4301416,11.72
75.4391117,31.4301449,11.34
75.4391317,31.4301484,10.93
75.4391533,31.43015,10.49
75.4391734,31.4301517,10.16
75.4391934,31.4301533,9.91
75.439215,31.4301533,9.65
75.4392351,31.4301517,9.39
75.4392567,31.4301517,9.13
75.4392784,31.4301517,8.96
75.4393,31.4301517,8.93
75.4393217,31.4301517,9.04
75.4393417,31.4301517,9.26
75.4393633,31.4301517,9.63
75.4393834,31.4301517,10.05
75.439405,31.4301533,10.5
75.439425,31.4301533,10.8
75.4395,31.4301383,9.56
75.4394984,31.4301217,9.54
75.4394984,31.4301033,9.59
75.4394984,31.4300867,9.7
75.4394984,31.4300684,9.84
75.4394984,31.4300534,9.9
75.4394966,31.4300367,9.88
75.4394984,31.4300199,9.79
75.4395,31.4300017,9.68
75.4395017,31.429985,9.64
75.4395017,31.4299683,9.7
75.4394984,31.4299501,9.85
75.4395,31.4299317,10.04
75.4395033,31.429915,10.11
75.4395067,31.4299,10.09
75.4395084,31.42989,10.04
75.43951,31.4298851,10.01
75.43951,31.4298801,9.97
75.43951,31.4298717,9.9
75.4395117,31.4298617,9.83
75.4394984,31.4298717,9.85
75.4394717,31.4298667,9.59
75.4394417,31.4298667,9.14
75.4394084,31.42987,8.75
75.4393734,31.4298734,8.82
75.4393383,31.4298767,8.94
75.4393034,31.4298784,8.99
75.4392683,31.4298784,9.12
75.4392351,31.4298784,9.31
75.4392,31.4298801,9.58
75.439165,31.4298801,9.83
75.439085,31.42992,10.2
75.4391184,31.429925,9.95
75.4391517,31.429925,9.71
75.4391867,31.429925,9.41
75.4392217,31.429925,9.08
75.4392551,31.4299234,8.89
75.4392883,31.4299234,8.79
75.4393217,31.4299217,8.68
75.439355,31.4299217,8.53
75.4393883,31.4299217,8.4
75.439495,31.4299484,9.05
75.4394667,31.4299584,8.63
75.4394317,31.42996,8.32
75.4393984,31.4299617,8.21
75.4393633,31.4299633,8.28
75.4393283,31.429965,8.5
75.4392917,31.4299667,8.74
75.4392551,31.4299667,8.91
75.4392183,31.4299683,9.22
75.4391834,31.4299716,9.7
75.4391484,31.4299716,10.14
75.439075,31.43001,10.58
75.439105,31.4300199,10.34
75.4391384,31.4300184,9.96
75.4391717,31.4300184,9.5
75.439205,31.4300184,9.01
75.43924,31.4300166,8.65
75.4392717,31.4300166,8.53
75.4393067,31.430015,8.44
75.43934,31.430015,8.29
75.4393717,31.4300133,8.16
75.439405,31.4300117,8.15
75.4394884,31.4300334,8.66
75.4394667,31.4300434,8.57
75.4394333,31.4300467,8.36
75.4394,31.43005,8.21
75.4393667,31.4300517,8.2
75.4393317,31.4300517,8.29
75.4392967,31.4300517,8.47
75.4392633,31.4300517,8.59
75.4392284,31.4300534,8.76
75.4391934,31.4300551,9.19
75.4391567,31.4300583,9.71
75.4390484,31.43009,10.97
75.4390684,31.4301067,10.72
75.4391,31.4301117,10.31
75.4391333,31.4301134,9.83
75.4391667,31.430115,9.5
75.4392,31.430115,9.32
75.4392334,31.4301166,9.13
75.4392667,31.4301166,8.91
75.4393017,31.4301166,8.75
75.439335,31.4301166,8.66
75.4393684,31.4301166,8.58
75.43948,31.4301416,9.81
75.4394567,31.4301399,9.44
75.4394301,31.430125,8.92
75.4394034,31.4301084,8.57
75.4393783,31.4300883,8.38
75.4393534,31.4300699,8.28
75.4393267,31.4300517,8.33
75.4393017,31.4300317,8.54
75.4392767,31.4300133,8.8
75.43925,31.429995,8.98
75.4392267,31.4299767,9.18
75.4392033,31.4299566,9.55
75.4391784,31.4299384,9.86
75.4391533,31.4299184,10.03
75.4391284,31.4298984,10.19
75.43911,31.4298817,10.36
75.4390933,31.42987,10.48
